section,minute,value,team,label,photo,key,keyvalue,role,number,club,age,
event,13,,home,"Andy ""Erling"" Price ·13'",https://notredamecobham.maps.arcgis.com/sharing/rest/content/items/c280da709f9b46fea94d4798b5aba89e/data,,,,,,,
event,18,,away,"Harry ""Kylian"" Walsh ·18'",https://notredamecobham.maps.arcgis.com/sharing/rest/content/items/9d1c5f3de452442aa435ee131b73735a/data,,,,,,,
event,30,,home,Jack Doyle · 29',https://notredamecobham.maps.arcgis.com/sharing/rest/content/items/c280da709f9b46fea94d4798b5aba89e/data,,,,,,,
event,50,,home,Gary Wilkes · 53',https://notredamecobham.maps.arcgis.com/sharing/rest/content/items/c280da709f9b46fea94d4798b5aba89e/data,,,,,,,
event,65,,away,Luke Bailey · 59',https://notredamecobham.maps.arcgis.com/sharing/rest/content/items/9d1c5f3de452442aa435ee131b73735a/data,,,,,,,
event,71,,home,Mick Turner · 71',https://notredamecobham.maps.arcgis.com/sharing/rest/content/items/c280da709f9b46fea94d4798b5aba89e/data,,,,,,,
event,80,,away,"Harry ""Kylian"" Walsh ·18'",https://notredamecobham.maps.arcgis.com/sharing/rest/content/items/9d1c5f3de452442aa435ee131b73735a/data,,,,,,,
event,87,,home,"Andy ""Erling"" Price ·13'",https://notredamecobham.maps.arcgis.com/sharing/rest/content/items/c280da709f9b46fea94d4798b5aba89e/data,,,,,,,
lineup,,,home,"Dave ""Safe Hands"" Carter (GK)",https://notredamecobham.maps.arcgis.com/sharing/rest/content/items/c280da709f9b46fea94d4798b5aba89e/data,,,starter,1,,49,Norwich City
lineup,,,home,Liam Briggs (RB),https://notredamecobham.maps.arcgis.com/sharing/rest/content/items/c280da709f9b46fea94d4798b5aba89e/data,,,starter,2,,33,Arsenal
lineup,,,home,Ben Foster (LB),https://notredamecobham.maps.arcgis.com/sharing/rest/content/items/c280da709f9b46fea94d4798b5aba89e/data,,,starter,3,,27,Milan
lineup,,,home,Mick Turner (CB),https://notredamecobham.maps.arcgis.com/sharing/rest/content/items/c280da709f9b46fea94d4798b5aba89e/data,,,starter,4,,52,Chelsea
lineup,,,home,Steve Collins (CB),https://notredamecobham.maps.arcgis.com/sharing/rest/content/items/c280da709f9b46fea94d4798b5aba89e/data,,,starter,5,,25,Brentford
lineup,,,home,Gary Wilkes (DM),https://notredamecobham.maps.arcgis.com/sharing/rest/content/items/c280da709f9b46fea94d4798b5aba89e/data,,,starter,6,,20,Manchester United
lineup,,,home,Tom Henson (RM),https://notredamecobham.maps.arcgis.com/sharing/rest/content/items/c280da709f9b46fea94d4798b5aba89e/data,,,starter,7,,24,Manchester City
lineup,,,home,Jack Doyle (CM),https://notredamecobham.maps.arcgis.com/sharing/rest/content/items/c280da709f9b46fea94d4798b5aba89e/data,,,starter,8,,22,Real Madrid
lineup,,,home,Ryan Cooper (LM),https://notredamecobham.maps.arcgis.com/sharing/rest/content/items/c280da709f9b46fea94d4798b5aba89e/data,,,starter,9,,21,Atletico Madrid
lineup,,,home,Chris Mason (ST),https://notredamecobham.maps.arcgis.com/sharing/rest/content/items/c280da709f9b46fea94d4798b5aba89e/data,,,starter,10,,39,Brighton & Hove Albion
lineup,,,home,"Andy ""Erling"" Price (ST)",https://notredamecobham.maps.arcgis.com/sharing/rest/content/items/c280da709f9b46fea94d4798b5aba89e/data,,,starter,11,,27,Bayern München
lineup,,,home,Joe Parker (GK),https://notredamecobham.maps.arcgis.com/sharing/rest/content/items/c280da709f9b46fea94d4798b5aba89e/data,,,sub,12,,32,Aston Villa
lineup,,,home,Matt Harris,https://notredamecobham.maps.arcgis.com/sharing/rest/content/items/c280da709f9b46fea94d4798b5aba89e/data,,,sub,13,,23,Rennes
lineup,,,home,Lewis Grant,https://notredamecobham.maps.arcgis.com/sharing/rest/content/items/c280da709f9b46fea94d4798b5aba89e/data,,,sub,14,,29,West Ham United
lineup,,,home,Dan Collins,https://notredamecobham.maps.arcgis.com/sharing/rest/content/items/c280da709f9b46fea94d4798b5aba89e/data,,,sub,15,,27,Lens
lineup,,,home,Sam Evans,https://notredamecobham.maps.arcgis.com/sharing/rest/content/items/c280da709f9b46fea94d4798b5aba89e/data,,,sub,16,,35,Leicester City
lineup,,,away,"Pete ""The Cat"" Morgan (GK)",https://notredamecobham.maps.arcgis.com/sharing/rest/content/items/9d1c5f3de452442aa435ee131b73735a/data,,,starter,1,,46,Crystal Palace
lineup,,,away,Nathan Reed (RB),https://notredamecobham.maps.arcgis.com/sharing/rest/content/items/9d1c5f3de452442aa435ee131b73735a/data,,,starter,2,,30,Paris Saint-Germain
lineup,,,away,Alex Brooks (LB),https://notredamecobham.maps.arcgis.com/sharing/rest/content/items/9d1c5f3de452442aa435ee131b73735a/data,,,starter,3,,23,Barcelona
lineup,,,away,Rob Bennett (CB),https://notredamecobham.maps.arcgis.com/sharing/rest/content/items/9d1c5f3de452442aa435ee131b73735a/data,,,starter,4,,23,Everton
lineup,,,away,Jamie Scott (CB),https://notredamecobham.maps.arcgis.com/sharing/rest/content/items/9d1c5f3de452442aa435ee131b73735a/data,,,starter,5,,26,Liverpool
lineup,,,away,Carl Hughes (CM),https://notredamecobham.maps.arcgis.com/sharing/rest/content/items/9d1c5f3de452442aa435ee131b73735a/data,,,starter,6,,27,Sunderland
lineup,,,away,Luke Bailey (RW),https://notredamecobham.maps.arcgis.com/sharing/rest/content/items/9d1c5f3de452442aa435ee131b73735a/data,,,starter,7,,23,Newcastle
lineup,,,away,Connor Shaw (CM),https://notredamecobham.maps.arcgis.com/sharing/rest/content/items/9d1c5f3de452442aa435ee131b73735a/data,,,starter,8,,32,Leeds
lineup,,,away,Owen Ellis (LW),https://notredamecobham.maps.arcgis.com/sharing/rest/content/items/9d1c5f3de452442aa435ee131b73735a/data,,,starter,9,,34,Tottenham Hotspur
lineup,,,away,Dean Mitchell (ST),https://notredamecobham.maps.arcgis.com/sharing/rest/content/items/9d1c5f3de452442aa435ee131b73735a/data,,,starter,10,,36,Dortmund
lineup,,,away,"Harry ""Kylian"" Walsh ·18'",https://notredamecobham.maps.arcgis.com/sharing/rest/content/items/9d1c5f3de452442aa435ee131b73735a/data,,,starter,11,,25,Real Madrid
lineup,,,away,Callum White (GK),https://notredamecobham.maps.arcgis.com/sharing/rest/content/items/9d1c5f3de452442aa435ee131b73735a/data,,,sub,12,,39,Roma
lineup,,,away,Josh King,https://notredamecobham.maps.arcgis.com/sharing/rest/content/items/9d1c5f3de452442aa435ee131b73735a/data,,,sub,13,,4,Benfica
lineup,,,away,Ethan Moore,https://notredamecobham.maps.arcgis.com/sharing/rest/content/items/9d1c5f3de452442aa435ee131b73735a/data,,,sub,14,,45,Marseille
lineup,,,away,Ben Sutton,https://notredamecobham.maps.arcgis.com/sharing/rest/content/items/9d1c5f3de452442aa435ee131b73735a/data,,,sub,15,,42,Fenerbahçe
lineup,,,away,Kyle Robinson,https://notredamecobham.maps.arcgis.com/sharing/rest/content/items/9d1c5f3de452442aa435ee131b73735a/data,,,sub,16,,53,Brondby
